trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
490,False,"{'e': 0.007446583070924338, 'a': 0.5}",25,17,16.016876338303927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'e': 0.007372488331368012, 'a': 0.5}",25,17,17.139000034333087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'e': 0.007299130846788583, 'a': 0.5}",20,6,28.085480824577957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'e': 0.0072265032813764625, 'a': 0.5}",20,9,-18.691356435932573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
494,False,"{'e': 0.007154598372314579, 'a': 0.5}",20,0,17.02103631899426,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
495,False,"{'e': 0.0070834089290521185, 'a': 0.5}",20,7,27.536941063928573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'e': 0.007012927832585425, 'a': 0.5}",20,10,20.693369318805672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'e': 0.0069431480347461145, 'a': 0.5}",25,12,22.91790023347548,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'e': 0.006874062557496248, 'a': 0.5}",20,16,8.5601720132958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'e': 0.006805664492230543, 'a': 0.5}",20,6,25.587519391981036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'e': 0.006737946999085467, 'a': 0.5}",30,21,19.46084682830225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'e': 0.006670903306255274, 'a': 0.5}",30,18,24.45306532251312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'e': 0.006604526709314805, 'a': 0.5}",20,10,22.417511681602843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'e': 0.006538810570549064, 'a': 0.5}",20,8,21.67406267504197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'e': 0.006473748318289405, 'a': 0.5}",20,13,10.816184094176542,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'e': 0.006409333446256383, 'a': 0.5}",20,7,25.67706394066273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'e': 0.00634555951290911, 'a': 0.5}",20,9,19.927026986826966,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'e': 0.006282420140801118, 'a': 0.5}",25,7,33.820584960383805,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'e': 0.006219909015942573, 'a': 0.5}",25,13,16.470650462683608,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
509,False,"{'e': 0.006158019887168897, 'a': 0.5}",35,21,20.384220369326737,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
510,False,"{'e': 0.006096746565515633, 'a': 0.5}",25,13,23.603193222355454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'e': 0.006036082923599565, 'a': 0.5}",30,18,23.854688960102962,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'e': 0.005976022895005943, 'a': 0.5}",25,15,8.66851878489553,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'e': 0.005916560473681857, 'a': 0.5}",20,3,33.9089669035488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'e': 0.0058576897133356225, 'a': 0.5}",20,12,12.99557345664795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'e': 0.005799404726842141, 'a': 0.5}",25,12,25.77501397350311,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'e': 0.005741699685654202, 'a': 0.5}",20,15,8.999938201690096,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'e': 0.005684568819219595, 'a': 0.5}",25,18,13.92385677538362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'e': 0.005628006414404065, 'a': 0.5}",30,14,32.432545193321495,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'e': 0.005572006814919993, 'a': 0.5}",20,3,33.19531419655721,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'e': 0.0055165644207607716, 'a': 0.5}",30,16,27.88526532180297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'e': 0.005461673687640779, 'a': 0.5}",20,13,14.560870335870353,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'e': 0.00540732912644096, 'a': 0.5}",30,13,35.12578417668946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'e': 0.005353525302659903, 'a': 0.5}",25,20,8.497808740283036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'e': 0.005300256835870402, 'a': 0.5}",25,18,12.075069448389401,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'e': 0.005247518399181385, 'a': 0.5}",25,5,37.691772933753796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'e': 0.005195304718705231, 'a': 0.5}",30,16,29.559554360147693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'e': 0.005143610573030379, 'a': 0.5}",20,8,22.648968884550253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'e': 0.00509243079269919, 'a': 0.5}",30,20,19.654618090216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'e': 0.005041760259690979, 'a': 0.5}",25,8,35.57851353171515,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
